"","Account","Date","hour","kWh","year","month","day","dayOfWeek","Weekday","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_Direction","Wind_SpeedMPH","Conditions","WindDirDegrees","Peakhour"
"1",26908650026,2014-01-01,0,132.369999,2014,1,1,3,1,23,5,"46",30.2,10,"WNW","8.1","Clear",290,0
"2",26908650026,2014-01-01,1,132.719997,2014,1,1,3,1,21.9,3.9,"46",30.23,10,"WNW","11.5","Partly Cloudy",290,0
"3",26908650026,2014-01-01,2,129.029997,2014,1,1,3,1,21.9,3.9,"46",30.25,10,"WSW","12.7","Clear",240,0
"4",26908650026,2014-01-01,3,125.759998,2014,1,1,3,1,21.9,3,"44",30.27,10,"WSW","11.5","Clear",250,0
"5",26908650026,2014-01-01,4,129.389997,2014,1,1,3,1,21,3,"46",30.29,10,"West","9.2","Clear",260,0
"6",26908650026,2014-01-01,5,132.509998,2014,1,1,3,1,21,3,"46",30.3,10,"West","11.5","Clear",270,0
"7",26908650026,2014-01-01,6,134.929996,2014,1,1,3,1,21,3.9,"48",30.32,10,"WSW","10.4","Scattered Clouds",250,0
"8",26908650026,2014-01-01,7,122.809998,2014,1,1,3,1,19.9,5,"52",30.35,10,"SW","10.4","Scattered Clouds",230,1
"9",26908650026,2014-01-01,8,119.959996,2014,1,1,3,1,23,6.1,"48",30.37,10,"West","10.4","Scattered Clouds",260,1
"10",26908650026,2014-01-01,9,123.159999,2014,1,1,3,1,24.1,5,"44",30.39,10,"WNW","16.1","Scattered Clouds",300,1
"11",26908650026,2014-01-01,10,129.109998,2014,1,1,3,1,26.1,5,"41",30.35,10,"West","12.7","Partly Cloudy",280,1
"12",26908650026,2014-01-01,11,125.829996,2014,1,1,3,1,26.1,5,"41",30.34,10,"West","13.8","Mostly Cloudy",260,1
"13",26908650026,2014-01-01,12,120.909997,2014,1,1,3,1,27,5,"39",30.33,10,"West","13.8","Scattered Clouds",280,1
"14",26908650026,2014-01-01,13,125.199997,2014,1,1,3,1,28,3.9,"36",30.33,10,"WNW","8.1","Mostly Cloudy",300,1
"15",26908650026,2014-01-01,14,128.589997,2014,1,1,3,1,27,3.9,"37",30.33,10,"West","10.4","Scattered Clouds",270,1
"16",26908650026,2014-01-01,15,143.169998,2014,1,1,3,1,27,5,"39",30.35,10,"WNW","10.4","Mostly Cloudy",290,1
"17",26908650026,2014-01-01,16,139.999998,2014,1,1,3,1,26.1,5,"41",30.35,10,"NNW","6.9","Mostly Cloudy",340,1
"18",26908650026,2014-01-01,17,138.639995,2014,1,1,3,1,25,5,"43",30.37,10,"NW","9.2","Scattered Clouds",320,1
"19",26908650026,2014-01-01,18,143.199999,2014,1,1,3,1,24.1,6.1,"46",30.37,10,"North","4.6","Partly Cloudy",10,1
"20",26908650026,2014-01-01,19,147.119998,2014,1,1,3,1,24.1,5,"44",30.38,10,"North","6.9","Partly Cloudy",360,0
"21",26908650026,2014-01-01,20,147.829998,2014,1,1,3,1,23,5,"46",30.38,10,"North","4.6","Scattered Clouds",350,0
"22",26908650026,2014-01-01,21,134.879996,2014,1,1,3,1,21.9,7,"53",30.39,10,"NNE","3.5","Mostly Cloudy",20,0
"23",26908650026,2014-01-01,22,128.909999,2014,1,1,3,1,23,6.1,"48",30.4,10,"North","3.5","Overcast",360,0
"24",26908650026,2014-01-01,23,124.499995,2014,1,1,3,1,23,7,"50",30.38,10,"NNE","6.9","Overcast",20,0
"25",26908650026,2014-01-02,0,121.129999,2014,1,2,4,1,21,10.9,"65",30.36,4,"NNE","6.9","Light Snow",20,0
"26",26908650026,2014-01-02,1,125.779996,2014,1,2,4,1,19.9,15.1,"81",30.36,1.8,"NNE","8.1","Light Snow",20,0
"27",26908650026,2014-01-02,2,128.329999,2014,1,2,4,1,19,14,"81",30.35,2,"NNE","9.2","Light Snow",20,0
"28",26908650026,2014-01-02,3,130.989996,2014,1,2,4,1,19,14,"81",30.34,1.5,"North","9.2","Light Snow",10,0
"29",26908650026,2014-01-02,4,222.729997,2014,1,2,4,1,19,14,"81",30.32,2.5,"North","10.4","Light Snow",10,0
"30",26908650026,2014-01-02,5,223.929996,2014,1,2,4,1,19,14,"81",30.31,1.8,"North","15","Light Snow",10,0
"31",26908650026,2014-01-02,6,229.409993,2014,1,2,4,1,19,15.1,"85",30.3,2.5,"North","13.8","Light Snow",10,0
"32",26908650026,2014-01-02,7,239.929992,2014,1,2,4,1,19,15.1,"85",30.28,0.8,"North","13.8","Light Snow",10,1
"33",26908650026,2014-01-02,8,247.729993,2014,1,2,4,1,19.9,16,"85",30.27,0.5,"NNE","13.8","Snow",20,1
"34",26908650026,2014-01-02,9,248.839992,2014,1,2,4,1,24.1,21,"88",30.25,0.5,"NE","18.4","Snow",40,1
"35",26908650026,2014-01-02,10,250.669996,2014,1,2,4,1,25,21,"85",30.21,0.5,"NE","21.9","Snow",50,1
"36",26908650026,2014-01-02,11,246.789998,2014,1,2,4,1,24.1,19.9,"84",30.15,0.5,"NE","25.3","Light Snow",50,1
"37",26908650026,2014-01-02,12,244.689993,2014,1,2,4,1,24.1,19.9,"84",30.12,0.5,"NE","21.9","Light Snow",40,1
"38",26908650026,2014-01-02,13,245.039997,2014,1,2,4,1,26.1,21,"81",30.08,0.5,"NE","26.5","Light Snow",50,1
"39",26908650026,2014-01-02,14,241.149993,2014,1,2,4,1,19.9,16,"85",30.05,0.5,"North","11.5","Snow",360,1
"40",26908650026,2014-01-02,15,245.899995,2014,1,2,4,1,12,8.1,"84",30.02,0.5,"North","16.1","Snow",350,1
"41",26908650026,2014-01-02,16,253.589992,2014,1,2,4,1,12,8.1,"84",30.01,1.2,"NNW","15","Light Snow",340,1
"42",26908650026,2014-01-02,17,196.179994,2014,1,2,4,1,10,6.1,"84",30,0.2,"North","19.6","Heavy Snow",350,1
